hotelname,hotelcategory,rate,ratedescription,commentcount,badgerate,stayduration,hotellocation,country,adults,room,checkoutdate,bestbaseprice,bestdiscountprice,offersortid,suppliername,baseprice,discountprice,currency,iscancellable,additionalfeature,hotelurl,senddate,city,checkindate,roomtype
Aska Just In Beach - All Inclusive,5,"8,9",Sehr gut,2.064,,6,Avsallar ,Turkey,2,1,2/23/2020,286,229,2,Hotelopia,"285,72","285,72",€,FALSE,,https://hotel.check24.de/search/Aska%20Just%20In%20Beach%20-%20All%20Inclusive-9213372/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=105&oP=229,18:52.7,Antalya,2/17/2020,Doppelzimmer
Aska Just In Beach - All Inclusive,5,"8,9",Sehr gut,2.064,,6,Avsallar ,Turkey,2,1,2/23/2020,286,229,3,AurumTours,"285,72","281,00",€,FALSE,,https://hotel.check24.de/search/Aska%20Just%20In%20Beach%20-%20All%20Inclusive-9213372/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=105&oP=229,43:15.6,Antalya,2/17/2020,Doppelzimmer
Aska Just In Beach - All Inclusive,5,"8,9",Sehr gut,2.064,,6,Avsallar ,Turkey,2,1,2/23/2020,286,229,3,Hotelopia,"342,84","342,84",€,FALSE,Meerblick,https://hotel.check24.de/search/Aska%20Just%20In%20Beach%20-%20All%20Inclusive-9213372/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=105&oP=229,18:52.7,Antalya,2/17/2020,Doppelzimmer
Aska Just In Beach - All Inclusive,5,"8,9",Sehr gut,2.064,,6,Avsallar ,Turkey,2,1,2/23/2020,286,229,4,Hotelopia,"285,72","285,72",€,FALSE,,https://hotel.check24.de/search/Aska%20Just%20In%20Beach%20-%20All%20Inclusive-9213372/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=105&oP=229,43:15.6,Antalya,2/17/2020,Doppelzimmer
Aska Just In Beach - All Inclusive,5,"8,9",Sehr gut,2.064,,6,Avsallar ,Turkey,2,1,2/23/2020,286,229,5,Hotelopia,"342,84","342,84",€,FALSE,Meerblick,https://hotel.check24.de/search/Aska%20Just%20In%20Beach%20-%20All%20Inclusive-9213372/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D2%26per_page%3D50&refLocationId=400999&oS=105&oP=229,43:15.6,Antalya,2/17/2020,Doppelzimmer
Aska Lara Resort & Spa Hotel,5,"8,8",Sehr gut,6.712,Top 4% der Stadt,6,Lara ,Turkey,2,1,2/23/2020,593,354,3,AurumTours,"456,00","444,00",€,FALSE,,https://hotel.check24.de/search/Aska%20Lara%20Resort%20%26%20Spa%20Hotel-9195297/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=354,35:14.8,Antalya,2/17/2020,Doppelzimmer
Aslan City Hotel,,"6,6",Befriedigend,425,,6,Alanya ,Turkey,2,1,2/23/2020,240,149,4,Expedia,"240,00","216,00",€,FALSE,,https://hotel.check24.de/search/Aslan%20City%20Hotel-7102898/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=105&oP=149,54:29.9,Antalya,2/17/2020,Doppelzimmer
Asteria Kremlin Palace,5,"9,2",Fabelhaft,6.992,Top 1% der Stadt,6,Lara ,Turkey,2,1,2/23/2020,546,336,1,Hotelopia,"546,00","342,84",€,TRUE,,https://hotel.check24.de/search/Asteria%20Kremlin%20Palace-9061747/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=336,11:53.1,Antalya,2/17/2020,Doppelzimmer
Asteria Kremlin Palace,5,"9,3",Fabelhaft,7.19,Top 1% der Stadt,6,Lara ,Turkey,2,1,2/23/2020,546,336,2,AurumTours,"546,00","356,00",€,FALSE,,https://hotel.check24.de/search/Asteria%20Kremlin%20Palace-9061747/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=336,36:09.4,Antalya,2/17/2020,Doppelzimmer
Ates Pension,,"8,8",Sehr gut,,,6,Kaş ,Turkey,2,1,2/23/2020,168,168,1,Booking.com,"168,00","168,00",€,FALSE,,https://hotel.check24.de/search/Ates%20Pension-8217311/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=29&oP=167.94,30:40.1,Antalya,2/17/2020,Doppelzimmer
Aura Hotel,,"9,2",Fabelhaft,162,,6,Side ,Turkey,2,1,2/23/2020,279,257,6,Expedia,"330,00","330,00",€,TRUE,Meerblick,https://hotel.check24.de/search/Aura%20Hotel-9596723/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=190&oP=256.56,59:18.0,Antalya,2/17/2020,Doppelzimmer
Azuu Boutique Hotel,,"6,5",Befriedigend,,,6,Antalya ,Turkey,2,1,2/23/2020,297,238,1,Expedia,"297,00","237,54",€,FALSE,,https://hotel.check24.de/search/Azuu%20Boutique%20Hotel-9684290/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D10%26per_page%3D50&refLocationId=400999&oS=178&oP=237.54,15:12.9,Antalya,2/17/2020,Doppelzimmer
B Business Hotel & Spa,4,"8,7",Sehr gut,529,,6,Antalya ,Turkey,2,1,2/23/2020,305,206,2,Hotelopia,"228,60","228,60",€,FALSE,,https://hotel.check24.de/search/B%20Business%20Hotel%20%26%20Spa-9664906/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=502&oP=205.8,17:25.0,Antalya,2/17/2020,Doppelzimmer
Baraka Pansiyon,,--,Unterkunft noch,,,6,Karaoz ,Turkey,2,1,2/23/2020,320,320,1,Hotels.Com,"320,06","320,06",€,FALSE,,https://hotel.check24.de/search/Baraka%20Pansiyon-9736165/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D16%26per_page%3D50&refLocationId=400999&oS=178&oP=319.79,08:24.3,Antalya,2/17/2020,Doppelzimmer
Behram Hotel,,"8,5",Sehr gut,,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,168,148,5,Hotelopia,"221,76","221,76",€,FALSE,,https://hotel.check24.de/search/Behram%20Hotel-9756387/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=29&oP=148.2,32:27.2,Antalya,2/17/2020,Doppelzimmer
Belek Altos Otel,,"5,3",Bewertung,,,6,Belek ,Turkey,2,1,2/23/2020,183,183,1,Hotels.Com,"182,89","182,89",€,FALSE,,https://hotel.check24.de/search/Belek%20Altos%20Otel-12328054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D16%26per_page%3D50&refLocationId=400999&oS=178&oP=182.74,11:44.4,Antalya,2/17/2020,Doppelzimmer
Belkon Hotel,,"5,4",Bewertung,954,,6,Belek ,Turkey,2,1,2/23/2020,160,160,1,Expedia,"160,38","160,38",€,FALSE,,https://hotel.check24.de/search/Belkon%20Hotel-8557078/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=178&oP=160.38,38:35.8,Antalya,2/17/2020,Doppelzimmer
Bellis Deluxe Hotel,5,"9,1",Fabelhaft,3.71,,6,"Gegend um den Golfclub Belek, Belek ",Turkey,2,1,2/23/2020,424,424,5,Booking.com,"816,00","816,00",€,FALSE,,https://hotel.check24.de/search/Bellis%20Deluxe%20Hotel-9189334/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=296&oP=424,58:06.1,Antalya,2/17/2020,Doppelzimmer
Bellis Deluxe Hotel,5,"9,1",Fabelhaft,3.71,,6,"Gegend um den Golfclub Belek, Belek ",Turkey,2,1,2/23/2020,424,424,6,Booking.com,"1.020,00","1.020,00",€,FALSE,,https://hotel.check24.de/search/Bellis%20Deluxe%20Hotel-9189334/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=288&oP=424,59:19.0,Antalya,2/17/2020,Doppelzimmer
Best Western Plus Khan Hotel,4,"8,0",Sehr gut,1.578,Top 3% der Stadt,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,324,298,2,HRS,"324,00","324,00",€,FALSE,Kostenlose Sauna,https://hotel.check24.de/search/Best%20Western%20Plus%20Khan%20Hotel-8500500/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=259&oP=298,10:28.6,Antalya,2/17/2020,Doppelzimmer
Best Western Plus Khan Hotel,4,"8,0",Sehr gut,1.578,Top 3% der Stadt,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,324,298,5,Hotelopia,"342,84","342,84",€,FALSE,,https://hotel.check24.de/search/Best%20Western%20Plus%20Khan%20Hotel-8500500/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=259&oP=298,10:28.6,Antalya,2/17/2020,Doppelzimmer
Best Western Plus Khan Hotel,4,"8,0",Sehr gut,1.578,Top 3% der Stadt,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,324,298,9,Expedia,"324,00","316,80",€,TRUE,,https://hotel.check24.de/search/Best%20Western%20Plus%20Khan%20Hotel-8500500/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=259&oP=298,10:28.6,Antalya,2/17/2020,Doppelzimmer
Best Western Plus Khan Hotel,4,"8,0",Sehr gut,1.578,Top 3% der Stadt,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,324,298,12,Expedia,"324,00","324,00",€,FALSE,,https://hotel.check24.de/search/Best%20Western%20Plus%20Khan%20Hotel-8500500/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=259&oP=298,10:28.6,Antalya,2/17/2020,Doppelzimmer
Best Western Plus Khan Hotel,4,"8,0",Sehr gut,1.578,Top 3% der Stadt,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,342,309,5,Hotelopia,"342,84","342,84",€,FALSE,,https://hotel.check24.de/search/Best%20Western%20Plus%20Khan%20Hotel-8500500/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=502&oP=308.58,08:30.1,Antalya,2/17/2020,Doppelzimmer
Best Western Plus Khan Hotel,4,"8,0",Sehr gut,1.578,Top 3% der Stadt,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,342,309,7,Hotels.Com,"324,00","316,80",€,TRUE,,https://hotel.check24.de/search/Best%20Western%20Plus%20Khan%20Hotel-8500500/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=502&oP=308.58,08:30.1,Antalya,2/17/2020,Doppelzimmer
Best Western Plus Khan Hotel,4,"8,0",Sehr gut,1.578,Top 3% der Stadt,6,"Stadtzentrum, Antalya ",Turkey,2,1,2/23/2020,342,309,10,HRS,"360,00","360,00",€,TRUE,Kostenlose Sauna,https://hotel.check24.de/search/Best%20Western%20Plus%20Khan%20Hotel-8500500/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D4%26per_page%3D50&refLocationId=400999&oS=502&oP=308.58,08:30.1,Antalya,2/17/2020,Doppelzimmer
Best Western Vib Antalya Hotel,,"9,0",Fabelhaft,67,,6,Dosemealti ,Turkey,2,1,2/23/2020,252,224,1,Hotels.Com,"252,00","224,00",€,TRUE,,https://hotel.check24.de/search/Best%20Western%20Vib%20Antalya%20Hotel-9682405/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=190&oP=224,34:36.4,Antalya,2/17/2020,Doppelzimmer
Best Western Vib Antalya Hotel,,"9,0",Fabelhaft,67,,6,Dosemealti ,Turkey,2,1,2/23/2020,252,224,2,Booking.com,"252,00","224,00",€,TRUE,,https://hotel.check24.de/search/Best%20Western%20Vib%20Antalya%20Hotel-9682405/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=190&oP=224,34:36.4,Antalya,2/17/2020,Doppelzimmer
Best Western Vib Antalya Hotel,,"9,0",Fabelhaft,67,,6,Dosemealti ,Turkey,2,1,2/23/2020,252,224,3,Expedia,"252,00","224,00",€,TRUE,,https://hotel.check24.de/search/Best%20Western%20Vib%20Antalya%20Hotel-9682405/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=190&oP=224,34:36.4,Antalya,2/17/2020,Doppelzimmer
Blanca Beach Hotel,,"8,1",Sehr gut,,,6,Kas,Turkey,2,1,2/23/2020,351,351,3,Booking.com,"390,00","390,00",€,FALSE,,https://hotel.check24.de/search/Blanca%20Beach%20Hotel-9750210/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D14%26per_page%3D50&refLocationId=400999&oS=28&oP=351,47:01.7,Antalya,2/17/2020,Doppelzimmer
Blue Sea Garden Family Hotel,,"8,3",Sehr gut,343,Top 1% der Stadt,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,150,150,4,Booking.com,"300,00","300,00",€,FALSE,,https://hotel.check24.de/search/Blue%20Sea%20Garden%20Family%20Hotel-7884931/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=178&oP=150,46:43.3,Antalya,2/17/2020,Doppelzimmer
Boutique House Mim A,,"6,4",Befriedigend,43,,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,138,106,2,Hotelopia,"137,58","130,48",€,FALSE,,https://hotel.check24.de/search/Boutique%20House%20Mim%20A-9703670/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D14%26per_page%3D50&refLocationId=400999&oS=502&oP=105.69,50:22.4,Antalya,2/17/2020,Doppelzimmer
Caner Hotel,,"7,9",Gut,,,6,Kemer ,Turkey,2,1,2/23/2020,60,54,2,Expedia,"60,00","54,00",€,TRUE,,https://hotel.check24.de/search/Caner%20Hotel-9605107/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=190&oP=54,25:54.4,Antalya,2/17/2020,Doppelzimmer
Caretta Hotel,,"8,0",Sehr gut,,,6,Kalkan ,Turkey,2,1,2/23/2020,456,432,2,Expedia,"458,94","458,94",€,FALSE,Meerblick,https://hotel.check24.de/search/Caretta%20Hotel-3745591/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D13%26per_page%3D50&refLocationId=400999&oS=176&oP=432,36:25.6,Antalya,2/17/2020,Doppelzimmer
Cender Hotel,,"6,3",Befriedigend,550,,6,Antalya ,Turkey,2,1,2/23/2020,258,196,3,Hotels.Com,"262,00","226,80",€,FALSE,Meerblick,https://hotel.check24.de/search/Cender%20Hotel-7930487/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D6%26per_page%3D50&refLocationId=400999&oS=105&oP=196,26:06.6,Antalya,2/17/2020,Doppelzimmer
Cennet Pansiyon,,"9,3",Fabelhaft,,,6,Kaleucagız ,Turkey,2,1,2/23/2020,216,216,1,Booking.com,"216,00","216,00",€,FALSE,,https://hotel.check24.de/search/Cennet%20Pansiyon-8559477/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D14%26per_page%3D50&refLocationId=400999&oS=28&oP=216,48:59.5,Antalya,2/17/2020,Doppelzimmer
Ceres Hotel,3,"7,5",Gut,203,,6,Belek ,Turkey,2,1,2/23/2020,291,250,2,Booking.com,"285,12","285,12",€,FALSE,,https://hotel.check24.de/search/Ceres%20Hotel-8518389/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D5%26per_page%3D50&refLocationId=400999&oS=105&oP=250,22:58.8,Antalya,2/17/2020,Doppelzimmer
Char Me Hotel,,"9,1",Fabelhaft,,,6,"Kaleici, Antalya ",Turkey,2,1,2/23/2020,420,379,3,Booking.com,"420,00","420,00",€,FALSE,,https://hotel.check24.de/search/Char%20Me%20Hotel-9715718/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D10%26per_page%3D50&refLocationId=400999&oS=178&oP=379.02,07:04.8,Antalya,2/17/2020,Doppelzimmer
Cinderella Pansiyon,,"9,9",Außer­gewöhnlich,,,6,Çıralı ,Turkey,2,1,2/23/2020,360,360,1,Hotels.Com,"360,00","360,00",€,FALSE,,https://hotel.check24.de/search/Cinderella%20Pansiyon-9745873/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D12%26per_page%3D50&refLocationId=400999&oS=178&oP=360,32:18.9,Antalya,2/17/2020,Doppelzimmer
Cirali Irmak Hotel,,"8,4",Sehr gut,69,,6,Çıralı ,Turkey,2,1,2/23/2020,130,130,1,Booking.com,"129,60","129,60",€,FALSE,,https://hotel.check24.de/search/Cirali%20Irmak%20Hotel-9194712/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D14%26per_page%3D50&refLocationId=400999&oS=28&oP=129.6,54:44.9,Antalya,2/17/2020,Doppelzimmer
Club Antiphellos,,"6,8",Befriedigend,126,,6,Kas,Turkey,2,1,2/23/2020,264,264,2,Expedia,"297,00","297,00",€,FALSE,,https://hotel.check24.de/search/Club%20Antiphellos-5156766/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D8%26per_page%3D50&refLocationId=400999&oS=29&oP=264,53:28.6,Antalya,2/17/2020,Doppelzimmer
Club Hotel Barbarossa,,"7,5",Gut,303,,6,Kas,Turkey,2,1,2/23/2020,376,350,10,Hotels.Com,"582,12","582,12",€,FALSE,,https://hotel.check24.de/search/Club%20Hotel%20Barbarossa-7833811/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D7%26per_page%3D50&refLocationId=400999&oS=105&oP=350,36:47.6,Antalya,2/17/2020,Doppelzimmer
Club Hotel Falcon,4,"8,0",Sehr gut,3.156,,6,Antalya ,Turkey,2,1,2/23/2020,206,206,1,Hotelopia,"1.443,00","1.443,00",€,FALSE,,https://hotel.check24.de/search/Club%20Hotel%20Falcon-4955924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=206,17:58.7,Antalya,2/17/2020,Doppelzimmer
Club Hotel Falcon,4,"8,0",Sehr gut,3.156,,6,Antalya ,Turkey,2,1,2/23/2020,206,206,4,Hotelopia,"2.332,00","1.665,00",€,FALSE,,https://hotel.check24.de/search/Club%20Hotel%20Falcon-4955924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=206,41:45.1,Antalya,2/17/2020,Doppelzimmer
Club Hotel Falcon,4,"8,0",Sehr gut,3.156,,6,Antalya ,Turkey,2,1,2/23/2020,206,206,4,Hotelopia,"2.332,00","1.704,00",€,FALSE,Meerblick,https://hotel.check24.de/search/Club%20Hotel%20Falcon-4955924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=206,16:18.4,Antalya,2/17/2020,Doppelzimmer
Club Hotel Falcon,4,"8,0",Sehr gut,3.156,,6,Antalya ,Turkey,2,1,2/23/2020,206,206,6,AurumTours,"272,00","272,00",€,FALSE,,https://hotel.check24.de/search/Club%20Hotel%20Falcon-4955924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=206,40:39.0,Antalya,2/17/2020,Doppelzimmer
Club Hotel Falcon,4,"8,0",Sehr gut,3.156,,6,Antalya ,Turkey,2,1,2/23/2020,206,206,9,Hotelopia,"1.695,00","1.695,00",€,FALSE,,https://hotel.check24.de/search/Club%20Hotel%20Falcon-4955924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=206,17:58.7,Antalya,2/17/2020,Doppelzimmer
Club Hotel Falcon,4,"8,0",Sehr gut,3.156,,6,Antalya ,Turkey,2,1,2/23/2020,206,206,12,HRS,"2.332,00","2.332,00",€,FALSE,Kostenlose Sauna,https://hotel.check24.de/search/Club%20Hotel%20Falcon-4955924/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=202&oP=206,40:39.0,Antalya,2/17/2020,Doppelzimmer
Cornelia De Luxe Resort,5,"9,3",Fabelhaft,1.486,Top 4% der Stadt,6,"Gegend um den Golfclub Belek, Belek ",Turkey,2,1,2/23/2020,1.242,790,4,Expedia,"1.242,00","1.152,06",€,FALSE,Meerblick,https://hotel.check24.de/search/Cornelia%20De%20Luxe%20Resort-1141394/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D3%26per_page%3D50&refLocationId=400999&oS=255&oP=790,54:20.4,Antalya,2/17/2020,Doppelzimmer
Crowne Plaza Antalya,5,"8,4",Sehr gut,3.601,Top 5% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,354,250,7,Crowne Plaza Hotels & Resorts,"354,00","294,00",€,FALSE,,https://hotel.check24.de/search/Crowne%20Plaza%20Antalya-9079054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=29&oP=250.49,29:40.9,Antalya,2/17/2020,Doppelzimmer
Crowne Plaza Antalya,5,"8,4",Sehr gut,3.601,Top 5% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,354,250,10,5vorFlug,"354,00","298,00",€,FALSE,,https://hotel.check24.de/search/Crowne%20Plaza%20Antalya-9079054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=29&oP=250.49,29:40.9,Antalya,2/17/2020,Doppelzimmer
Crowne Plaza Antalya,5,"8,4",Sehr gut,3.601,Top 5% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,354,250,11,Booking.com,"354,00","310,50",€,FALSE,,https://hotel.check24.de/search/Crowne%20Plaza%20Antalya-9079054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=29&oP=250.49,10:33.6,Antalya,2/17/2020,Doppelzimmer
Crowne Plaza Antalya,5,"8,4",Sehr gut,3.601,Top 5% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,354,250,14,Booking.com,"354,00","310,50",€,FALSE,,https://hotel.check24.de/search/Crowne%20Plaza%20Antalya-9079054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=29&oP=250.49,29:40.9,Antalya,2/17/2020,Doppelzimmer
Crowne Plaza Antalya,5,"8,4",Sehr gut,3.601,Top 5% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,354,250,17,Crowne Plaza Hotels & Resorts,"354,00","354,00",€,FALSE,,https://hotel.check24.de/search/Crowne%20Plaza%20Antalya-9079054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=29&oP=250.49,29:40.9,Antalya,2/17/2020,Doppelzimmer
Crowne Plaza Antalya,5,"8,4",Sehr gut,3.601,Top 5% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,354,250,18,Booking.com,"474,00","474,00",€,FALSE,,https://hotel.check24.de/search/Crowne%20Plaza%20Antalya-9079054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=29&oP=250.49,10:33.6,Antalya,2/17/2020,Doppelzimmer
Crowne Plaza Antalya,5,"8,4",Sehr gut,3.601,Top 5% der Stadt,6,"Konyaalti Plaji, Antalya ",Turkey,2,1,2/23/2020,354,250,18,Hotels.Com,"354,00","354,00",€,TRUE,Meerblick,https://hotel.check24.de/search/Crowne%20Plaza%20Antalya-9079054/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=29&oP=250.49,29:40.9,Antalya,2/17/2020,Doppelzimmer
Crystal De Luxe Resort & Spa,5,"9,2",Fabelhaft,3.495,Top 1% der Stadt,6,Kemer ,Turkey,2,1,2/23/2020,320,320,1,Hotelopia,"320,40","320,40",€,FALSE,,https://hotel.check24.de/search/Crystal%20De%20Luxe%20Resort%20%26%20Spa-8116946/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=502&oP=320.4,37:30.4,Antalya,2/17/2020,Doppelzimmer
Crystal De Luxe Resort & Spa,5,"9,2",Fabelhaft,3.495,Top 1% der Stadt,6,Kemer ,Turkey,2,1,2/23/2020,320,320,2,Hotelopia,"354,84","354,84",€,FALSE,Meerblick,https://hotel.check24.de/search/Crystal%20De%20Luxe%20Resort%20%26%20Spa-8116946/2020-02-17/2020-02-23/%5BA%7CA%5D/hotel.html?reason=private&pageUrlQuery=page%3D1%26per_page%3D50&refLocationId=400999&oS=502&oP=320.4,11:40.3,Antalya,2/17/2020,Doppelzimmer
